srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt
2887713124,134744072,56322,443,TCP,1684513199000,291.833,213,19717
2887713124,602137230,54304,443,TCP,1684513345000,280.609,197,18244
602137230,2887713124,443,54304,TCP,1684513345000,280.845,339,28887
134744072,2887713124,443,56322,TCP,1684513503000,273.194,304,39359
2887713124,134744072,56322,443,TCP,1684513503000,273.2,186,17102
760880640,2887713124,443,34422,TCP,1684513782000,45.446,20,5151
3741648133,2887713124,443,39466,TCP,1684513777000,31.756,16,3593
2338577992,2887713124,443,54534,TCP,1684513806000,10.63,16,6021
2887713124,760880640,34422,443,TCP,1684513782000,45.537,25,2160
2887713124,3741648133,39466,443,TCP,1684513777000,31.852,17,1294
2887713124,2338577992,54534,443,TCP,1684513806000,10.623,18,1338
2887713124,602137230,54304,443,TCP,1684513626000,180.86,95,8609
602137230,2887713124,443,54304,TCP,1684513626000,180.861,160,11428
755707147,2887713124,443,48022,TCP,1684513847000,32.019,11,3915
2887713124,755707147,48022,443,TCP,1684513847000,32.175,14,1185
2887713124,2297717106,48488,443,TCP,1684513856000,10.287,14,1238
2887713124,2297717106,41410,443,TCP,1684513867000,9.21,14,1238
2887713124,2737796528,56712,443,TCP,1684513816000,57.295,40,3031
2297717106,2887713124,443,48488,TCP,1684513856000,10.284,11,6784
2297717106,2887713124,443,41410,TCP,1684513867000,9.208,11,6802
2737796528,2887713124,443,56712,TCP,1684513816000,57.196,36,7121
2887713124,1893015771,43034,443,TCP,1684513868000,74.072,41,3064
1893015771,2887713124,443,43034,TCP,1684513868000,73.974,41,7445
134744072,2887713124,443,47328,TCP,1684513801000,179.318,233,34526
1959440410,2887713124,443,43822,TCP,1684513980000,0.0,1,20
1959440410,2887713124,443,50012,TCP,1684513922000,57.531,48,15420
1495696166,2887713124,443,57714,TCP,1684513998000,2.59,13,5796
1495696166,2887713124,443,43728,TCP,1684513985000,2.576,13,5814
2887713124,134744072,47328,443,TCP,1684513801000,179.324,146,13328
2887713124,1959440410,43822,443,TCP,1684513980000,0.0,1,40
2887713124,1959440410,50012,443,TCP,1684513922000,57.534,55,4595
2887713124,1495696166,57714,443,TCP,1684513998000,2.645,15,994
2887713124,1495696166,43728,443,TCP,1684513985000,2.51,15,994
2456824066,2887713124,443,45000,TCP,1684514005000,13.313,13,9108
2887713124,2456824066,45000,443,TCP,1684514005000,13.314,16,1277
3270640130,2887713124,443,58026,TCP,1684514007000,58.592,33,7930
134744072,2887713124,443,59688,TCP,1684513991000,119.615,135,22181
2887713124,3270640130,58026,443,TCP,1684514007000,58.593,35,3154
3270640130,2887713124,443,60854,TCP,1684514073000,50.795,27,7894
134744072,2887713124,443,59688,TCP,1684514119000,15.784,22,2755
2887713124,3270640130,60854,443,TCP,1684514073000,50.796,35,3152
2887713124,134744072,59688,443,TCP,1684513991000,144.484,98,9050
3270640130,2887713124,443,46848,TCP,1684514125000,35.423,19,6940
2887713124,3270640130,46848,443,TCP,1684514125000,35.426,23,2026
3270640130,2887713124,443,46724,TCP,1684514173000,27.628,20,6968
2887713124,3270640130,46724,443,TCP,1684514173000,27.629,23,2024
3270640130,2887713124,443,52540,TCP,1684514202000,16.517,16,6394
2887713124,3270640130,52540,443,TCP,1684514202000,16.517,17,1460
3270640130,2887713124,443,54336,TCP,1684514219000,25.224,16,6606
2887713124,3270640130,54336,443,TCP,1684514219000,25.226,19,1649
3270640130,2887713124,443,58108,TCP,1684514245000,10.03,11,5932
2887713124,3270640130,58108,443,TCP,1684514245000,10.031,12,1051
3270640130,2887713124,443,58732,TCP,1684514262000,29.843,20,6849
2887713124,3270640130,58732,443,TCP,1684514262000,29.844,22,1870
3270640130,2887713124,443,59672,TCP,1684514296000,26.852,17,6647
2887713124,3270640130,59672,443,TCP,1684514296000,26.852,21,1837
3270640130,2887713124,443,55356,TCP,1684514326000,16.164,15,6380
3270640130,2887713124,443,33128,TCP,1684514379000,21.419,17,6551
3270640130,2887713124,443,41900,TCP,1684514359000,18.368,14,6204
3270640130,2887713124,443,51910,TCP,1684514343000,10.036,11,5956
134744072,2887713124,443,59688,TCP,1684514145000,258.32,302,38652
2887713124,3270640130,55356,443,TCP,1684514326000,16.165,17,1459
2887713124,3270640130,33128,443,TCP,1684514379000,21.42,21,1709
2887713124,3270640130,41900,443,TCP,1684514359000,18.37,16,1303
2887713124,3270640130,51910,443,TCP,1684514343000,10.036,12,1051
2887713124,134744072,59688,443,TCP,1684514145000,258.317,183,16720
3270640130,2887713124,443,56406,TCP,1684514413000,0.025,5,5532
134744072,2887713124,443,59688,TCP,1684514404000,8.094,26,3500
2887713124,3270640130,56406,443,TCP,1684514413000,0.027,7,836
2887713124,134744072,59688,443,TCP,1684514404000,8.091,14,1207
3270640130,2887713124,443,56406,TCP,1684514413000,36.756,19,1600
2887713124,3270640130,56406,443,TCP,1684514413000,36.751,18,1379
3270640130,2887713124,443,56510,TCP,1684514454000,11.067,12,6112
2887713124,3270640130,56510,443,TCP,1684514454000,11.07,15,1271
3270640130,2887713124,443,48362,TCP,1684514477000,15.854,17,6432
2887713124,3270640130,48362,443,TCP,1684514477000,15.857,18,1492
3270640130,2887713124,443,33028,TCP,1684514497000,23.283,20,6816
2887713124,3270640130,33028,443,TCP,1684514497000,23.284,21,1836
3270640130,2887713124,443,50018,TCP,1684514538000,28.543,21,6980
2887713124,3270640130,50018,443,TCP,1684514538000,28.536,25,2089
3270640130,2887713124,443,55046,TCP,1684514618000,10.29,14,6152
3270640130,2887713124,443,37542,TCP,1684514572000,35.274,19,6900
